¿Cómo de probable considerarías usar nuestro producto como una opción para llevar comida fuera de casa?,¿Cuál de estas características específicas valorarías más en un envase de alimentos con indicador de frescura?,Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Novedoso],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Creativo],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Atractivo],Indica el grado de concordancia con respecto a las siguientes características sobre nuestro producto: [Creíble],¿Estarías dispuesto/a a pagar un precio ligeramente más alto por un envase de alimentos con indicador de frescura en comparación con envases convencionales?,¿Cuánto dinero extra estarías dispuesto a pagar?,¿Con qué frecuencia cocinas en casa durante la semana?,¿Con qué frecuencia consumes alimentos fuera de casa?,¿Te gustaría utilizar un envase de alimentos con un indicador de frescura para reducir el desperdicio?,¿Cómo de importante es para ti la sostenibilidad medioambiental al elegir productos alimenticios?,¿Qué tan importante es para ti la frescura de los alimentos que consumes?,¿Has buscado activamente formas de reducir el desperdicio de alimentos en tu vida diaria?,¿Cuál es tu edad?,¿Cuál es tu género?,¿Qué nivel de renta media anual tiene tu hogar? (30.552€ según datos del INE),¿Tienes alguna sugerencia o comentario adicional sobre un envase de alimentos con indicador de frescura?,¿Cuántos dedos tiene por lo general una persona en una mano?,Puntuación,¿Qué tamaño de envase considerarían más conveniente para sus necesidades?,¿Tienen preocupaciones sobre la durabilidad o efectividad del indicador de frescura?,¿Qué tan importante sería para ustedes poder personalizar el indicador de frescura según sus preferencias individuales?,¿Qué tan importante ve usted la incorporación del código QR para poder comprobar la frescura de los alimentos sin necesidad de descargarse la aplicación?
5,"Tamaño adecuado para porciones individuales, Diseño atractivo y practico, Capacidad de reutilización como tupper, Fácil activación del indicador de frescura",Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",1,1,Sí,21,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Poco importante,Muy importante
3,"Tamaño adecuado para porciones individuales, Materiales ecoamigables/reciclables, Capacidad de reutilización como tupper",Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Varias veces a la semana,"Sí, probablemente",1,2,No,22,Femenino,Por debajo de la media,,5,,Pequeño (500ml),Mucha preocupación,Algo importante,Algo importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Pocas veces a la semana,"Sí, definitivamente",4,1,Sí,18,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Poco importante,Muy importante
3,"Tamaño adecuado para porciones individuales, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,Más de 7€,Varias veces a la semana,Varias veces a la semana,No estoy seguro/a,3,2,No,23,Femenino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Muy importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Materiales ecoamigables/reciclables",Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Sí,"Entre 0€ y 2,99€",Diariamente,Diariamente,"Sí, probablemente",1,1,Sí,23,Femenino,Alrededor de la media,,5,,Pequeño (500ml),Alguna preocupación,Poco importante,Muy importante
3,Fácil activación del indicador de frescura,Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante en desacuerdo,Sí,Más de 7€,Diariamente,Pocas veces a la semana,"Sí, definitivamente",3,4,Sí,21,Masculino,Por debajo de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Poco importante
2,"Diseño atractivo y practico, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 5€ y 6,99€",Varias veces a la semana,Varias veces a la semana,"Sí, probablemente",3,1,Sí,19,Masculino,Por encima de la media,,5,,Mediano (1000ml),Alguna preocupación,Muy importante,Muy importante
4,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,No,,Diariamente,Pocas veces a la semana,No estoy seguro/a,4,2,No,18,Femenino,Por encima de la media,,5,,Pequeño (500ml),No me importa,Poco importante,Algo importante
4,"Tamaño adecuado para porciones individuales, Fácil activación del indicador de frescura, Capacidad de reutilización como tupper, Diseño atractivo y practico",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Ni de acuerdo ni en desacuerdo,Sí,"Entre 5€ y 6,99€",Diariamente,Nunca,"Sí, probablemente",2,4,No,20,Masculino,Alrededor de la media,,5,,Mediano (1000ml),Alguna preocupación,Algo importante,Poco importante
2,"Fácil activación del indicador de frescura, Capacidad de reutilización como tupper",Totalmente de acuerdo,Totalmente de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Sí,"Entre 3€ y 4,99€",Diariamente,Pocas veces a la semana,"Sí, probablemente",3,2,Sí,18,Masculino,Por encima de la media,,5,,Pequeño (500ml),Alguna preocupación,Muy importante,Algo importante
